text,likes,views
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит много работать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный урок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm454

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm454",20,6108
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",12,6141
"Alberta, Canada in the winter",140,6026
Печенье с шоколадной крошкой — любимое печенье Санты и самое популярное печенье в Канаде.,86,4334
"Average Canadian house price hits $816,720 — up 20% in past year. Средняя цена дома в Канаде достигла $816 720, что на 20% больше, чем в прошлом году.",26,4688
"«15 тысяч пенсия, на лекарства надо 8, на коммуналку еще 4... А на что питаться? Вот такая у меня беда...»
Рассказывает Нина Петровна, в прошлом инженер-снабженец дальневосточного пароходства.

""Я уже не знаю, как долго я смогу выживать без этого лекарства. Жизнь становится невыносимой.""
Плачет в трубку ветеран труда Владимир Васильевич.

""Когда у меня болит, я просто смиряюсь и жду, когда все это закончится."" Пилагея Пентелеевна делится с нами укладом своей жизни.

«У меня нет близких и родных, я осталась одна. Потеряла Единственную дочь. Мне стыдно просить милостыню, помогите пожалуйста». Галина Александровна.

И это лишь несколько историй одиноких бабушек и дедушек, за которыми мы присматриваем. Благотворительный фонд «Добрый слон» заботиться об одиноких пожилых людях Ленинградской области. Мы даем старичкам надежду на достойную старость, каждый месяц привозим продукты и лекарства прямо в руки каждому нуждающемуся пенсионеру. Сейчас мы находим все больше людей. Тысячи одиноких больных пенсионеров живут в нищите и мечтают, что когда нибудь кто-то заметит их, поддержит, поможет...

Мы очень хотим помочь им всем! Но без вашего участия мы не сможем каждый месяц покупать столько лекарств и продуктов.
 Пожалуйста, помогите закупить продуктовые наборы для 820 пенсионеров Ленинградской области.
Сделайте пожертвование на сайте благотворительного проекта или оформите подписку на ежемесячную помощь проекту и старикам.
Всегда помните! Даже 50 рублей это много — когда нас много! Добро вернется к Вам и вашим близким! 

Подарить старичкам достойную старость — https://pensioners-help.ru/?utm_source=vk&utm_medium=posev&utm_campaign=test_creo&utm_content=green&utm_term=t7_c16",9,5747
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",8,6488
"Смотрите, как по щелчку пальцев преобразилась кухня.

Интерьерная карта мира из дерева — идеальное решение для пустующей стены.

Узнать цену: vk.me/ga_den_ru?ref=mp_2&ref_source=mp",7,3498
"Звонок в дверь, курьер, а там - долгожданная посылка

На видео разноуровневая интерьерная карта мира Safari. Только посмотрите, как идеально она вписалась в интерьер квартиры.
⠀
Узнать цену: vk.me/ga_den_ru?ref=mp_18&ref_source=mp",14,8036
The population of Toronto is over 2.8 million...,54,3514
"Drake (rapper), Keanu Reeves (actor) are from Canada. 
Дрейк (рэпер), Киану Ривз (актер) родом из Канады. А вы знали об этом?",58,8459
"Канадские города уже много лет занимают верхние строчки мировых рейтингов по качеству жизни и безопасности. Кроме того, безработица в стране низкая.",94,4918
"Сделаем фотокубик из 12 фотографий твоей любимой. Ты нам даешь 12 её фото — мы создаем фотокубик.

Покажи своей женщине, что ты готов и можешь удивлять её не только 8 марта.

Заказать со скидкой 35% — vk.me/fotokubik?ref=mk-sh7",6,5591
"Canada has the longest coastline in the world. 
Канада имеет самую длинную береговую линию в мире.",67,4684
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",16,6091
"Vancouver, Canada",333,9868
Милашка☺️,137,7690
"Нарисуем твою жену на холсте. Ты нам даешь ее фото, мы рисуем.

Покажи своей женщине, что ты готов и можешь удивлять ее не только на 8 Марта. Закажи романтичный и нежный портрет своей любимой, чтобы она увидела, какой красивой ты ее видишь

И самая, справедливая гарантия: обещаем вау-эффект или вернем деньги!

Переходи по ссылке, чтобы рассчитать стоимость портрета за 1 минуту: https://vk.me/podarok.monro?ref=anton_post512",6,7097
"Poutine
Poutine is a beautiful main dish, snack, or side dish from Canada. It's so popular in Canada that it even got its place in Mcdonald's. It's made of three components: fries, cheese and gravy. 
Пути'н — прекрасное основное блюдо, закуска или гарнир из Канады. В Канаде оно настолько популярно, что даже заняло свое место в Макдональдсе. Он состоит из трех компонентов: картофеля фри, сыра и соуса.",22,4329
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",26,8248
81 процент всего населения Канады проживает в городах. А где бы вы хотели жить?,94,4809
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",20,10343
WOW!,226,9390
University of Toronto-лучший университет Канады. Он также является одним из лучших научно-исследовательских университетов мира.,104,5066
"Нарисуем твою жену на холсте. Ты нам даешь ее фото, мы рисуем.

Покажи своей женщине, что ты готов и можешь удивлять ее не только на 8 Марта. Закажи романтичный и нежный портрет своей любимой, чтобы она увидела, какой красивой ты ее видишь

И самая, справедливая гарантия: обещаем вау-эффект или вернем деньги!

Переходи по ссылке, чтобы рассчитать стоимость портрета за 1 минуту: https://vk.me/podarok.monro?ref=anton_post512",12,8224
😊,109,4624
"Изготавливаем Доски Садху для людей, которые хотят научиться управлять своими эмоциями.

Узнать цены:

https://vk.me/prostogvozdi?ref=ML_1.2.6",7,6251
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит впахивать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный вебинар:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm369

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm369",25,8252
Happy Halloween!🎃,69,3983
"Eggnog-traditional Christmas drink in Canada. Eggnog is traditionally made with eggs, egg yolk, sugar, milk, heavy cream and vanilla extract. 
Эгг-ног — традиционный рождественский напиток в Канаде. Эгг-ног традиционно готовят из яиц, яичного желтка, сахара, молока, жирных сливок и ванильного экстракта. Этот напиток может быть алкогольный.",46,2827
"Canada's first/oldest national park - Banff National Park, Хотели бы побывать там?",103,7334
"Сроки горят. Нужно свободно владеть новым языком?

Однажды я участвовала в соревнованиях по памяти. И за 8 часов выучила 1 000 незнакомых для меня иностранных слов. Комиссия подтвердила этот факт.

С тех пор прошло много времени. Но меня хоть ночью разбуди, я воспроизведу любое из слов, в хаотичном, необходимом порядке.

Как такое возможно? Почему они зубрят годами, но не воспроизведут и 200 слов, а другим достаточно 1 неполного дня?

Для того, чтобы выучить новый язык, не нужно зубрить сам язык!

Вы же не учились говорить на русском? Услышали, моментально запомнили и начали применять. С иностранным – та же история.

Проблема не в языке, а в памяти, которая блокирует принятие новой информации.

Отказывается мозг впитывать, как губка, новые для него слова, формулы, алгоритмы времени?

Поэтому вы зубрите, повторяете бесконечно, много, долго. А запоминается минимум информации.

Как это исправить?

Работать не с языком, а со своей памятью.

Что будет после проработки мозговой активности?

- Вы начнете моментально запоминать новую информацию.
- Избавитесь от зубрения.
- Сможете легко, комфортно принимать новое и тут же воспроизводить.
- Запоминать будете не на короткий промежуток времени, а на всю жизнь.
- Перенесете новые знания на все сферы своей жизни. Это позволит повысить свою эффективность в работе, учебе, достижении нового.
- Сможете быстро освоиться в новых странах, на разных континентах.
- В работе откроете новые горизонты, начнете сотрудничество с международными компаниями.

Я приглашаю вас принять участие в вебинаре «Как развить память и запоминать большие объемы данных в 5 раз быстрее».

http://victoriabembeeva.com/krpweb_ads2?utm_source=mp&utm_medium=sroki_k3&utm_campaign=cpc_ak_web

Здесь я открою особенности работы нашей памяти. Вы получите практическую информацию по разработке вариантов запоминания новой информации.

Также каждого зарегистрированного участника ждет 2 подарка:

- Чек-лист: «Топ-10 упражнений для тренировки памяти, концентрации и внимания».
- Видеоурок, который поможет вам любую информацию принимать легко и запоминать надолго.

Все это поможет вам в освоении нового языка и быстром запоминании новой информации.

http://victoriabembeeva.com/krpweb_ads2?utm_source=mp&utm_medium=sroki_k3&utm_campaign=cpc_ak_web

Приходите. Забирайте ценные сведения. И переходите во Вселенную неограниченных возможностей вашего мозга.",12,7282
Cutie🥰,118,5271
"Озеро Авраам хорошо известно головокружительным количеством пузырьков метана, которые в зимние месяцы запираются в прозрачном льду озера. Это искусственное озеро на реке Северный Саскачеван в стране Дэвида Томпсона — популярное место для путешествий как летом, так и зимой.",75,4914
"Смотрите, как преобразился интерьер квартиры

«Она фантастическая, хочется разглядывать каждую деталь»
Именно так описала свои эмоции от карты наша покупательница и прислала видео. 

Интерьерная карта мира из дерева — идеальное решение для пустующей стены. 

Узнать цену: vk.me/ga_den_ru?ref=mp_12&ref_source=mp",27,8984
Montreal 🤩,344,45635
"The Royal Canadian Mint once made a gigantic loonie made of 99.9% gold that was worth $1 million.
Канадская монета 100 кг «Золотой кленовый лист» 
В 2007 году Центральный банк Канады выпустил гигантскую золотую монету «Золотой кленовый лист» весом 100 кг, толщиной 1.2 дюйма и диаметром 0,53 м. Проба золота 99999. 
На лицевой стороне изображена королева Великобритании Елизавета II, на оборотной — символ Канады — три кленовых листа.",44,6064
"Smelling bad in Canada is illegal...

""Offending a place with a bad smell"" is illegal, whether it be via poor hygiene or carrying smelly foods.

«Оскорбление места неприятным запахом» в Канаде незаконно, будь то из-за плохой гигиены или вонючей еды.",28,4758
"Churchill, Manitoba is a home to the largest Beluga whale migration in the world. In fact, you can get up close and personal with them in the summer months!
Черчилль, Манитоба, является домом для крупнейшей миграции белух в мире. Вы можете поближе познакомиться с ними в летние месяцы!",37,3082
"Как красиво обновить интерьер? Добавить деревянную карту миру на стену!

Мы 6 лет изготавливаем вручную уникальные интерьерные карты.
Одноуровневые и многоуровневые карты из дерева, пробки, органического стекла и других материалов, которые идеально впишутся в интерьер дома или офиса.

Наши карты не просто элемент декора. Довольно часто карта - это оригинальный и презентабельный подарок.

Узнать цену: vk.me/ga_den_ru?ref=mp_10&ref_source=mp",22,9717
А вы ждете зиму?,62,4684
"Рождество в Канаде празднуют почти так же, как и в других западных странах. Как и во всем мире, 25 декабря является официальным праздником в Канаде, и многие канадцы также берут отпуск во второй половине дня 24-го числа (сочельник). 26 декабря отмечается день подарков-это тоже официальный праздник.",63,33683
"Кататься на санках запрещено, извините!",151,73511
Осень начинает украшать землю своими хрупкими кусочками ослабевшего золота🍁,156,65491
"Thanksgiving Day in Canada is celebrated on the second Monday in October each year. It is a holiday to give thanks for the harvest and blessings of the past year.
День Благодарения в Канаде отмечается каждый год во второй понедельник октября. Это праздник благодарения за урожай прошлого года.",60,5059
"Смотрите, как по щелчку пальцев преобразилась кухня.

Интерьерная карта мира из дерева — идеальное решение для пустующей стены.

Узнать цену: vk.me/ga_den_ru?ref=mp_2&ref_source=mp",23,9289
"Bicycle mounted officers in Canada respond to the same types of calls as their motorized counterparts. They have the advantage of arriving at the scene of an incident undetected, and are often able to catch criminal occurrences in progress. In addition to this, they are expected to patrol areas that are inaccessible to cars. 
Офицеры-велосипедисты в Канаде отвечают на те же вызовы, что и их коллеги которые пользуются машинами или мотоциклами. У них есть преимущество в том, что они прибывают на место происшествия незамеченными и часто могут зафиксировать происходящее преступление. Помимо этого, предполагается, что они будут патрулировать районы, недоступные для автомобилей.",78,30729
"Нюи Бланш-многоголосая выставка с участием нескольких художников, исследующая связь между землей, водой и сообществами проходит на этих выходных в Торонто.",252,192203
Autumn Leaves & Pumpkins Please,161,5283
"Pumpkin Spice flavour....Ever since Starbucks introduced the pumpkin spice latte (or PSL) in 2003, the craze has been on a meteoric rise. In just the last five years, pumpkin spice product sales have increased about 47%, reaching $236 million in the 2021-22 season alone. 
С тех пор, как Starbucks представила латте с тыквенными специями в 2003 году, этот тыквенный вкус стал стремительно расти. Всего за последние пять лет продажи ""острой тыквы"" выросли примерно на 47%, достигнув 236 миллионов долларов только в сезоне 2021–2022 годов. Сейчас, тыквенный вкус можно найти не только в напитках, но и в других продуктах.",50,3577
Fall Sweet Fall...,105,3835
"The World's Largest Rubber Duck officially returns to the city for the Toronto Waterfront Festival. 
Самая большая в мире резиновая утка официально возвращается в город на фестиваль на набережной Торонто.",94,14805
"Ищу ребят кому нужна помощь.
(Дам хорошую возможность)

Ищу ребят кто хочет зарабатывать. Обязанности - обучиться, поработать пару часов в день, компьютер-телефон, интернет, быть на связи.

Важно :

- Платить не надо.
- Покупать тоже ничего не надо.

Если отложишь сейчас, можешь упустить шанс изменить свою жизнь.

Чтобы начать, просто подпишись по ссылке: https://vk.cc/cpDlZV",19,8867
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит впахивать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный вебинар:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm235

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm235",24,7111
"“Canada is a country that is built on the basic principle that all people are created equal, regardless of their race, religion, or cultural background.” – Justin Trudeau. 
«Канада — это страна, построенная на основном принципе, согласно которому все люди созданы равными, независимо от их расы, религии или культурного происхождения». — Джастин Трюдо",93,8114
"Онтарио — вторая по величине провинция Канады, в которой проживает примерно 40% населения Канады. Здесь вы можете найти огромный город Торонто, столицу страны Оттаву и одну из самых известных природных достопримечательностей в мире: Ниагарский водопад.",97,5271
The most common last name in Canada is “John”. Самое распространенное имя в Канаде — «Джон».,45,15046
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит впахивать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный вебинар:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm216

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm216",31,8781
"Хэллоуин – очень популярный праздник, который считается вторым по величине коммерчески успешным праздником в Канаде. Halloween is a very popular celebration that is considered to be the second-largest commercially successful holiday in Canada.",56,6292
"Срочно ищем желающих стать турагентом!
(можно без опыта, всему научим сами)

Образование, место жительства, трудовой стаж — не важны. Можно совмещать с основной работой или с декретным отпуском.

На что вы можете рассчитывать:
- полностью удаленная работа;
- достойное зп;
- стабильная подработка, если не хотите уходить с основной работы.

Что нужно делать?

- Продавать туры (всему научу).

Что вам потребуется для этого?

- Время: от 2-х свободных часов в день (утро, день или вечер — выбираете сами).
- Обычный компьютер с интернетом(лишь бы работал).
- Желание учиться, впитывать информацию.

Не нужны особые знания, таланты или природный дар.

С работой вполне справляются и мамы в декрете, и даже пенсионерки, не говоря уже о тех, кто любит впахивать и добиваться своих целей.

За пол года вполне реально вырасти из новичка в профи и вырасти в зп.

Чтобы понять, подходит ли вам удаленная профессия «Турагент», регистрируйтесь на бесплатный вводный вебинар:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm209

Где вы узнаете:
- кому точно подходит эта профессия
- с чего начать работу и где искать клиентов, просто и пошагово с самого начала
- как турагенту путешествовать почти бесплатно
- только актуальную информацию — учимся работать так, как это делают сегодня и сейчас, а не три года назад.

Принимайте решение прямо сейчас, ведь этот пост может больше не появиться в ленте.

Что нужно сделать сейчас:

Регистрируйся на бесплатный эфир и получи полезные инструменты в подарок:
https://via-tourism.school/veb1203?utm_source=vk&utm_medium=mrpm209",86,9134
Canada’s national parks are so massive that 30 of them are larger than many countries!,254,11945
"There are more doughnut shops in Canada per capita than any other country. The most famous of them all is Tim Horton’s and it can be found almost anywhere. 

В Канаде больше магазинов пончиков, чем в любой другой стране. Самый известный из них — Тим Хортонс, и его можно найти практически где угодно.",49,5403
